"sku","name","rial","toman","stock","status"
"sku","name","rial","toman","stock","status"
"20296604",-1,"پادری ایکیا مدل KOGE، خاکستری/مشکی، ابعاد ۸۲×۲۰۰ سانتی‌متر","",""
"00500111",-1,"پادری ایکیا مدل KLAMPENBORG، قهوه‌ای، ابعاد ۳۵×۵۵ سانتی‌متر","",""
"00612279","پادری ایکیا مدل KONTANTER، الیاف نارگیل / سبک طبیعی، ابعاد ۴۰×۶۰ سانتی‌متر",30,45000000,0,"success"
"00556160","پادری ایکیا مدل LOHALS، طبیعی، ابعاد ۶۰×۹۰ سانتی‌متر",70,105000000,0,"success"
"00582852","پادری ایکیا مدل FRIKTION، خاکستری، ابعاد ۳۸×۵۸ سانتی‌متر",0,0,97,"success"
"40399045","پادری ایکیا مدل TRAMPA، طبیعی، ابعاد ۴۰×۶۰ سانتی‌متر",20,30000000,0,"success"
"20052187","پادری ایکیا مدل TRAMPA، طبیعی، ابعاد ۶۰×۹۰ سانتی‌متر",40,60000000,187,"success"
"80610993","سبد نگهدارنده برای یخچال، ایکیا مدل KLIPPKAKTUS، شفاف، ابعاد ۳۰×۱۹×۱۴ سانتی‌متر",20,30000000,0,"success"
"30610995","جعبه نگهدارنده برای یخچال ایکیا مدل KLIPPKAKTUS، ست ۳ عددی، شفاف",30,45000000,28,"success"
"80603030","ظرف نگهدارنده غذا ایکیا مدل HAVSTOBIS با درب، شفاف/چند رنگ، ۷۰۰ میلی‌لیتر",20,30000000,0,"success"
"70602516","تابه سرخ‌کردنی ایکیا مدل KLIPPFISK با درب، روکش نچسب، خاکستری–فیروزه‌ای، قطر ۲۸ سانتی‌متر",160,256000000,3,"success"
"50602503","قابلمه سس ایکیا مدل KLIPPFISK مشکی–آبی، روکش نچسب/ گنجایش ۲.۳ لیتر",130,208000000,23,"success"
"90597482","قابلمه ایکیا مدل KLIPPFISK به همراه درب، روکش نچسب، مشکی–آبی، گنجایش ۵ لیتر",200,320000000,0,"success"
"80602511","تابه ایکیا مدل KLIPPFISK پوشش نچسب / دسته چوبی/ خاکستری-آبی تیره، ۲۸ سانتی‌متر",130,208000000,8,"success"
"10600860","گلدان گیاه مصنوعی ایکیا مدل FEJKA، ، مدل درخت موز، قطر 12 سانتی‌متر",40,60000000,5,"success"
"80601470",-1,"گلدان گیاه مصنوعی ایکیا مدل FEJKA، ، مدل حسن یوسف/قرمز، قطر ۹ سانتی‌متر","",""
"10560114","شاخه مصنوعی ایکیا مدل SMYCKA، اکالیپتوس/صورتی، ارتفاع ۶۰ سانتی‌متر",10,15000000,0,"success"
"00601474",-1,"گل مصنوعی ایکیا مدل SMYCKA، مدل اسکابیوزا، ارتفاع ۳۰ سانتی‌متر","",""
"30601482",-1,"دسته گل مصنوعی ایکیا مدل SMYCKA، چندرنگ، ارتفاع ۳۵ سانتی‌متر","",""
"50599652","قاشق آشپزی ایکیا مدل KNORRHANE، رنگ نارنجی روشن/قرمز تیره، طول ۳۳ سانتی‌متر",20,30000000,71,"success"
"70597483","کفگیر ایکیا مدل KNORRHANE، بژ روشن/ذغالی، طول ۳۲ سانتی‌متر",20,30000000,435,"success"
